sales_order_id,created_at,last_updated,design_id,staff_id,counterparty_id,units_sold,unit_price,currency_id,agreed_delivery_date,agreed_payment_date,agreed_delivery_location_id
183,2022-12-26 12:37:10.140000,2022-12-26 12:37:10.140000,33,11,18,5901,2.13,3,2023-01-01,2022-12-30,8
184,2022-12-26 12:42:10.758000,2022-12-26 12:42:10.758000,30,13,10,64874,3.63,2,2022-12-29,2022-12-28,10
185,2022-12-26 15:44:10.307000,2022-12-26 15:44:10.307000,21,13,20,89793,2.97,2,2022-12-27,2022-12-30,17
186,2022-12-26 16:11:10.217000,2022-12-26 16:11:10.217000,27,14,13,48819,2.97,2,2022-12-31,2022-12-28,8
187,2022-12-26 17:25:10.274000,2022-12-26 17:25:10.274000,7,12,11,55155,2.70,2,2022-12-28,2023-01-01,4
188,2022-12-27 08:38:10.095000,2022-12-27 08:38:10.095000,31,18,9,81249,3.83,3,2022-12-31,2022-12-30,5
1232,2023-03-10 09:32:10.394000,2023-03-10 09:32:10.394000,80,11,18,97087,2.42,1,2023-03-16,2023-03-14,4
190,2022-12-27 11:12:09.858000,2022-12-27 11:12:09.858000,14,15,17,11073,2.36,3,2022-12-30,2022-12-28,23
191,2022-12-27 11:43:10.368000,2022-12-27 11:43:10.368000,5,3,9,24002,3.85,3,2023-01-01,2023-01-01,19
192,2022-12-27 11:59:10.286000,2022-12-27 11:59:10.286000,4,13,18,87789,2.34,3,2023-01-02,2022-12-28,27
193,2022-12-27 14:04:09.720000,2022-12-27 14:04:09.720000,25,17,20,97572,2.76,2,2022-12-28,2022-12-30,24
2764,2023-06-14 14:39:09.797000,2023-06-14 14:39:09.797000,42,1,14,2193,2.28,1,2023-06-19,2023-06-17,5
195,2022-12-27 16:27:10.160000,2022-12-27 16:27:10.160000,31,11,8,41558,3.98,3,2022-12-27,2022-12-27,7
196,2022-12-27 17:10:10.321000,2022-12-27 17:10:10.321000,29,14,8,43795,2.41,2,2023-01-01,2023-01-01,5
198,2022-12-28 11:20:10.209000,2022-12-28 11:20:10.209000,37,12,6,98762,2.21,2,2023-01-03,2023-01-02,8
199,2022-12-28 11:29:10.091000,2022-12-28 11:29:10.091000,24,13,8,56634,3.34,3,2023-01-04,2022-12-30,24
200,2022-12-28 13:25:10.269000,2022-12-28 13:25:10.269000,17,7,6,47999,3.50,3,2022-12-29,2023-01-03,6
201,2022-12-28 13:27:10.176000,2022-12-28 13:27:10.176000,19,6,18,42097,3.32,3,2022-12-30,2022-12-30,16
202,2022-12-28 13:34:10.318000,2022-12-28 13:34:10.318000,38,16,11,14989,2.92,3,2023-01-01,2022-12-29,9
203,2022-12-28 14:21:10.363000,2022-12-28 14:21:10.363000,15,5,19,24529,2.20,3,2023-01-03,2022-12-30,8
204,2022-12-28 15:44:10.398000,2022-12-28 15:44:10.398000,24,8,12,53163,3.14,3,2023-01-03,2022-12-31,6
205,2022-12-28 17:18:10.161000,2022-12-28 17:18:10.161000,37,12,8,26311,3.86,3,2022-12-29,2022-12-29,5
206,2022-12-28 18:24:09.926000,2022-12-28 18:24:09.926000,8,4,13,21072,2.36,3,2023-01-02,2022-12-31,5
207,2022-12-29 08:35:10.244000,2022-12-29 08:35:10.244000,6,10,18,58340,2.94,2,2023-01-03,2023-01-02,16
208,2022-12-29 11:05:09.869000,2022-12-29 11:05:09.869000,23,8,19,77061,3.14,3,2022-12-31,2023-01-01,4
209,2022-12-29 11:24:10.190000,2022-12-29 11:24:10.190000,19,8,14,66603,3.01,2,2022-12-29,2023-01-02,2
210,2022-12-29 12:35:09.864000,2022-12-29 12:35:09.864000,5,4,18,29983,3.27,3,2023-01-01,2023-01-03,23
211,2022-12-29 14:10:10.120000,2022-12-29 14:10:10.120000,9,11,10,10348,3.00,3,2023-01-02,2023-01-04,6
212,2022-12-29 14:12:10.330000,2022-12-29 14:12:10.330000,24,20,7,8380,2.37,2,2023-01-02,2023-01-03,6
213,2022-12-29 14:55:10.629000,2022-12-29 14:55:10.629000,28,2,16,47257,2.50,2,2022-12-30,2023-01-01,21
214,2022-12-29 15:27:10.242000,2022-12-29 15:27:10.242000,34,6,6,39817,2.64,3,2023-01-01,2023-01-03,2
215,2022-12-30 09:51:10.103000,2022-12-30 09:51:10.103000,13,9,18,84944,3.67,2,2023-01-01,2023-01-02,25
